PO CREATION DATE,SUPPLIER ACCOUNT,PO NUMBER,LineNumber,Part Number,QTY,UNIT COST ,TOTAL LINE AMOUNT,Currency,RequestedDeliveryDate
07/07/2021,3270,PO422-000333,1,PartNo515,4,17.99,71.96,GBP,15/07/2021
07/07/2021,3013,PO422-000333,2,PartNo516,2,15.99,31.98,GBP,15/07/2021
07/07/2021,4430,PO422-000333,3,PartNo517,30,12.99,389.7,GBP,15/07/2021
07/07/2021,2940,PO422-000333,4,PartNo518,2,12.99,25.98,GBP,15/07/2021
07/07/2021,2940,PO422-000334,1,PartNo519,1,47.8,47.8,GBP,14/07/2021
07/07/2021,4876,PO422-000334,2,PartNo520,1,279,279,GBP,14/07/2021
07/07/2021,2700,PO422-000335,1,PartNo521,1,8.76,8.76,GBP,14/07/2021
07/07/2021,4090,PO422-000335,2,PartNo522,2,38.37,76.74,GBP,14/07/2021
07/07/2021,4352,PO422-000335,3,PartNo523,5,5.13,25.65,GBP,14/07/2021
07/07/2021,274,PO422-000336,1,PartNo524,100,3.5,350,GBP,13/07/2021
07/07/2021,2430,PO422-000336,2,PartNo525,5,58,290,GBP,13/07/2021
07/07/2021,3432,PO422-000336,3,PartNo526,10,58,580,GBP,13/07/2021
07/07/2021,3270,PO422-000336,4,PartNo527,5,58,290,GBP,13/07/2021
07/07/2021,3683,PO422-000336,5,PartNo528,20,2.5,50,GBP,13/07/2021
07/07/2021,3270,PO422-000336,6,PartNo529,5,49,245,GBP,13/07/2021
07/07/2021,4006,PO422-000336,7,PartNo530,5,49,245,GBP,13/07/2021
07/07/2021,2700,PO422-000336,8,PartNo531,20,2.5,50,GBP,13/07/2021
07/07/2021,3270,PO422-000336,10,PartNo532,10,49,490,GBP,13/07/2021
07/07/2021,3997,PO422-000336,11,PartNo533,20,15,300,GBP,13/07/2021
07/07/2021,4313,PO422-000337,2,PartNo534,1,49.5,49.5,GBP,14/07/2021
07/07/2021,3432,PO422-000337,1,PartNo535,90,13.25,1192.5,GBP,14/07/2021
